# db4a input recording
# frame button down
# frame mouse x y   (game pixels)
3446 mouse 47 160
3447 mouse 48 149
3448 mouse 48 143
3449 mouse 48 141
3454 mouse 48 140
3455 mouse 48 139
3456 mouse 49 139
3457 mouse 50 137
3458 mouse 53 129
3459 mouse 58 116
3460 mouse 63 93
3461 mouse 69 60
3462 mouse 75 16
3463 mouse 78 0
3465 mouse 75 0
3466 mouse 70 0
3467 mouse 65 0
3468 mouse 59 0
3469 mouse 54 0
3470 mouse 49 0
3471 mouse 47 0
3474 mouse 46 6
3475 mouse 43 16
3476 mouse 38 28
3477 mouse 33 40
3478 mouse 31 45
3479 mouse 31 46
3480 mouse 31 47
3481 mouse 31 48
3482 mouse 31 50
3483 mouse 31 54
3484 mouse 32 58
3485 mouse 33 63
3486 mouse 34 69
3487 mouse 36 72
3488 mouse 36 73
3489 a 1
3494 a 0
3494 mouse 36 72
3496 mouse 37 72
3497 mouse 39 74
3498 mouse 43 79
3499 mouse 51 92
3500 mouse 60 112
3501 mouse 67 141
3502 mouse 75 177
3503 mouse 82 215
3504 mouse 89 224
3505 mouse 96 224
3506 mouse 104 224
3507 mouse 111 224
3508 mouse 119 224
3509 mouse 125 224
3510 mouse 131 224
3511 mouse 134 224
3512 mouse 135 224
3515 mouse 135 223
3516 mouse 134 218
3517 mouse 133 211
3518 mouse 133 205
3519 mouse 132 202
3520 mouse 132 201
3521 mouse 132 200
3522 mouse 132 199
3523 mouse 133 196
3524 mouse 132 190
3525 mouse 130 183
3526 mouse 127 178
3527 mouse 126 176
3528 mouse 125 174
3529 mouse 122 170
3530 mouse 118 164
3531 mouse 116 159
3532 mouse 115 155
3533 mouse 114 154
3534 a 1
3534 mouse 114 153
3538 a 0
3540 mouse 116 153
3541 mouse 120 151
3542 mouse 128 148
3543 mouse 137 144
3544 mouse 147 139
3545 mouse 155 135
3546 b 1
3546 mouse 156 135
3551 b 0
3554 mouse 158 138
3555 mouse 165 146
3556 mouse 175 154
3557 mouse 186 164
3558 mouse 195 171
3559 mouse 201 178
3560 mouse 205 183
3561 mouse 205 186
3562 mouse 205 187
3563 mouse 205 189
3564 mouse 205 191
3569 a 1
3573 a 0
3573 mouse 205 190
3574 mouse 205 189
3575 mouse 206 182
3576 mouse 206 165
3577 mouse 206 126
3578 mouse 206 86
3579 mouse 203 41
3580 mouse 200 0
3581 mouse 197 0
3582 mouse 195 0
3583 mouse 192 0
3584 mouse 189 0
3585 mouse 186 0
3586 mouse 185 0
3587 mouse 184 0
3590 mouse 183 0
3594 mouse 183 6
3595 mouse 180 19
3596 mouse 175 38
3597 mouse 170 53
3598 mouse 164 61
3599 mouse 161 65
3600 mouse 160 66
3601 mouse 157 65
3602 mouse 153 63
3603 mouse 146 60
3604 mouse 142 60
3605 mouse 141 60
3606 mouse 140 60
3607 mouse 139 64
3608 mouse 139 68
3609 mouse 141 69
3610 mouse 142 69
3611 mouse 143 68
3612 mouse 145 66
3613 mouse 148 62
3614 mouse 152 56
3615 mouse 154 53
3617 a 1
3623 a 0
3625 mouse 154 54
3626 mouse 153 55
3627 mouse 153 61
3628 mouse 154 72
3629 mouse 154 99
3630 mouse 156 144
3631 mouse 157 199
3632 mouse 155 224
3633 mouse 152 224
3634 mouse 150 224
3637 mouse 151 224
3638 mouse 150 224
3639 mouse 149 224
3645 mouse 148 224
3646 mouse 145 219
3647 mouse 137 209
3648 mouse 125 194
3649 mouse 118 188
3650 mouse 114 184
3651 mouse 111 180
3652 mouse 108 176
3653 mouse 104 173
3654 mouse 98 171
3655 mouse 93 171
3656 mouse 90 172
3657 mouse 88 173
3658 mouse 87 175
3659 mouse 85 178
3660 mouse 83 181
3661 mouse 82 182
3663 mouse 82 183
3667 a 1
3669 mouse 81 183
3670 mouse 81 180
3671 a 0
3671 mouse 82 168
3672 mouse 83 143
3673 mouse 83 107
3674 mouse 83 77
3675 mouse 83 52
3676 mouse 84 34
3677 mouse 86 20
3678 mouse 88 11
3679 mouse 88 7
3680 mouse 89 3
3681 mouse 91 0
3682 mouse 93 0
3684 mouse 94 0
3687 mouse 93 1
3688 mouse 93 5
3689 mouse 90 14
3690 mouse 85 27
3691 mouse 78 39
3692 mouse 74 48
3693 mouse 71 55
3694 mouse 70 57
3695 mouse 70 58
3696 mouse 71 59
3697 mouse 73 64
3698 mouse 74 73
3699 mouse 76 84
3700 mouse 77 95
3701 mouse 78 110
3702 mouse 78 130
3703 mouse 75 160
3704 mouse 75 195
3705 mouse 76 224
3706 mouse 78 224
3707 mouse 81 224
3708 mouse 83 224
3711 mouse 82 224
3718 mouse 81 224
3719 mouse 81 219
3720 mouse 78 205
3721 mouse 78 192
3722 mouse 78 186
3723 mouse 78 183
3724 mouse 77 181
3725 mouse 77 180
3731 mouse 76 179
3732 mouse 76 178
3733 mouse 76 177
3734 mouse 76 176
3736 mouse 76 175
3737 a 1
3737 mouse 77 174
3743 a 0
3745 mouse 77 173
3746 mouse 77 172
3747 mouse 78 167
3748 mouse 79 155
3749 mouse 79 135
3750 mouse 80 111
3751 mouse 78 86
3752 mouse 77 56
3753 mouse 76 20
3754 mouse 74 0
3755 mouse 72 0
3760 mouse 71 0
3761 mouse 70 0
3765 mouse 71 0
3766 mouse 73 7
3767 mouse 73 20
3768 mouse 73 33
3769 mouse 72 42
3770 mouse 72 48
3771 mouse 71 53
3772 mouse 71 57
3773 mouse 71 59
3775 mouse 71 60
3776 mouse 71 62
3777 mouse 72 64
3778 mouse 72 68
3779 mouse 71 72
3780 mouse 71 74
3781 a 1
3783 mouse 71 73
3785 mouse 71 72
3787 a 0
3788 mouse 71 71
3791 mouse 71 70
3793 b 1
3798 b 0
3803 mouse 72 73
3804 mouse 78 85
3805 mouse 86 108
3806 mouse 94 136
3807 mouse 102 167
3808 mouse 108 195
3809 mouse 112 221
3810 mouse 115 224
3816 mouse 114 224
3817 mouse 113 224
3818 mouse 112 224
3820 mouse 111 224
3824 mouse 111 219
3825 mouse 112 210
3826 mouse 114 195
3827 mouse 116 180
3828 mouse 117 168
3829 mouse 118 164
3830 mouse 118 159
3831 mouse 119 156
3832 mouse 119 155
3834 mouse 119 154
3836 mouse 120 154
3837 mouse 121 154
3838 mouse 123 153
3839 mouse 125 154
3840 mouse 126 157
3841 mouse 128 164
3842 mouse 129 169
3843 mouse 129 173
3844 mouse 129 174
3852 mouse 133 175
3853 mouse 140 177
3854 mouse 142 178
3856 mouse 142 179
3857 a 1
3862 a 0
3864 mouse 142 178
3865 mouse 142 174
3866 mouse 143 165
3867 mouse 144 148
3868 mouse 143 120
3869 mouse 141 89
3870 mouse 138 53
3871 mouse 134 15
3872 mouse 130 0
3873 mouse 127 0
3874 mouse 126 0
3875 mouse 124 0
3876 mouse 122 0
3877 mouse 120 0
3878 mouse 119 0
3885 mouse 118 0
3888 mouse 119 0
3894 mouse 120 0
3895 mouse 119 5
3896 mouse 115 18
3897 mouse 108 31
3898 mouse 101 43
3899 mouse 93 54
3900 mouse 86 62
3901 mouse 80 69
3902 mouse 76 74
3903 mouse 73 75
3904 mouse 70 76
3905 mouse 68 76
3906 mouse 67 76
3907 mouse 66 76
3908 mouse 65 76
3909 mouse 62 76
3910 mouse 57 78
3911 mouse 51 83
3912 mouse 44 89
3913 mouse 35 94
3914 mouse 29 98
3915 mouse 26 101
3916 mouse 25 103
3917 mouse 24 104
3923 a 1
3928 a 0
3930 mouse 25 104
3931 mouse 27 103
3932 mouse 34 101
3933 mouse 47 97
3934 mouse 56 93
3935 mouse 60 90
3936 mouse 60 89
3939 mouse 62 88
3940 mouse 63 88
3941 mouse 66 87
3942 mouse 68 86
3943 mouse 71 85
3944 mouse 75 85
3945 mouse 81 84
3946 mouse 86 83
3947 mouse 90 83
3948 mouse 90 82
3952 mouse 89 82
3953 mouse 87 83
3954 mouse 85 84
3955 mouse 84 85
3956 mouse 82 88
3957 mouse 79 94
3958 mouse 74 103
3959 mouse 69 111
3960 mouse 63 115
3961 mouse 56 116
3962 mouse 52 117
3964 mouse 52 116
3966 a 1
3967 mouse 52 117
3972 a 0
3975 mouse 52 116
3990 mouse 52 117
3991 mouse 52 119
3992 mouse 55 128
3993 mouse 66 149
3994 mouse 84 177
3995 mouse 106 210
3996 mouse 129 224
3997 mouse 152 224
3998 mouse 169 224
3999 mouse 182 224
4000 mouse 193 224
4001 mouse 198 224
4002 mouse 200 224
4003 mouse 203 224
4004 mouse 206 224
4005 mouse 207 224
4006 mouse 208 224
4008 mouse 207 224
4010 mouse 206 224
4011 mouse 205 224
4012 mouse 202 224
4013 mouse 198 224
4014 mouse 195 224
4015 mouse 190 224
4016 mouse 185 224
4017 mouse 176 224
4018 mouse 164 224
4019 mouse 153 224
4020 mouse 140 223
4021 mouse 129 218
4022 mouse 114 209
4023 mouse 102 197
4024 mouse 93 187
4025 mouse 86 179
4026 mouse 82 173
4027 mouse 79 169
4028 mouse 79 168
4029 mouse 79 167
4033 mouse 78 168
4034 mouse 76 169
4035 mouse 75 170
4037 mouse 77 169
4038 mouse 79 167
4039 mouse 83 165
4040 mouse 89 163
4041 mouse 95 162
4042 mouse 98 161
4043 mouse 99 161
4050 mouse 100 162
4051 mouse 100 164
4053 mouse 100 167
4054 mouse 100 172
4055 mouse 100 174
4056 mouse 100 175
4057 mouse 101 176
4058 mouse 101 177
4059 mouse 100 178
4063 mouse 100 177
4064 mouse 100 175
4065 mouse 100 171
4066 mouse 100 169
4067 mouse 100 168
4085 a 1
4089 a 0
4098 mouse 100 171
4099 mouse 103 182
4100 mouse 108 205
4101 mouse 112 224
4102 mouse 116 224
4103 mouse 117 224
4104 mouse 118 224
4105 mouse 120 224
4106 mouse 122 224
4107 mouse 124 224
4108 mouse 125 224
4109 mouse 126 224
4116 mouse 126 223
4117 mouse 125 220
4118 mouse 125 211
4119 mouse 124 187
4120 mouse 126 166
4121 mouse 128 153
4122 mouse 128 147
4123 mouse 128 145
4131 mouse 128 144
4132 mouse 129 144
4133 mouse 130 143
4140 mouse 130 142
4150 b 1
4154 b 0
4191 mouse 130 141
4197 mouse 130 140
4202 mouse 130 139
4203 mouse 131 139
4204 mouse 132 139
4205 mouse 135 138
4206 mouse 138 138
4207 mouse 140 137
4208 mouse 141 137
4209 mouse 142 137
4212 mouse 143 136
4213 mouse 145 135
4214 mouse 147 134
4215 mouse 148 133
4216 mouse 149 133
4218 mouse 150 132
4219 mouse 151 131
4223 mouse 152 131
4228 mouse 153 131
4234 mouse 154 131
4235 mouse 155 131
4236 mouse 156 131
4237 mouse 158 132
4238 mouse 160 132
4239 mouse 163 131
4240 mouse 164 131
4241 mouse 165 130
4253 mouse 166 130
4254 mouse 170 130
4255 mouse 174 131
4256 mouse 178 131
4257 mouse 180 132
4258 mouse 182 133
4259 mouse 184 135
4260 mouse 186 136
4261 mouse 187 136
4271 mouse 186 136
4272 mouse 184 136
4273 mouse 179 133
4274 mouse 174 129
4275 mouse 171 125
4276 mouse 170 123
4277 mouse 169 121
4278 mouse 168 119
4279 mouse 168 118
4280 mouse 167 118
4285 mouse 167 117
4289 mouse 166 117
4290 mouse 165 116
4291 mouse 164 115
4292 mouse 163 115
4293 mouse 163 114
4295 a 1
4301 a 0
4306 b 1
4311 b 0
4311 mouse 163 115
4318 mouse 164 115
4321 mouse 169 115
4322 mouse 178 116
4323 mouse 194 117
4324 mouse 222 118
4325 mouse 259 118
4326 mouse 297 118
4327 mouse 319 118
4331 mouse 319 120
4337 mouse 315 120
4338 mouse 304 119
4339 mouse 289 119
4340 mouse 273 121
4341 mouse 255 123
4342 mouse 238 125
4343 mouse 224 127
4344 mouse 215 127
4345 mouse 211 127
4346 mouse 208 127
4348 mouse 207 127
4350 mouse 206 127
4351 mouse 203 126
4352 mouse 201 125
4353 mouse 200 125
4358 mouse 200 124
4359 mouse 197 123
4360 mouse 195 122
4362 mouse 194 123
4363 mouse 192 124
4364 mouse 188 126
4365 mouse 182 127
4366 mouse 178 128
4367 mouse 177 128
4368 mouse 176 128
4370 mouse 175 128
4371 mouse 174 129
4372 mouse 173 129
4373 mouse 172 129
4374 mouse 171 130
4375 mouse 170 130
4390 mouse 169 130
4391 mouse 168 130
4392 mouse 167 130
4393 mouse 166 130
4394 mouse 165 130
4430 a 1
4437 a 0
4440 b 1
4446 b 0
4450 mouse 165 131
4451 mouse 167 137
4452 mouse 170 148
4453 mouse 175 166
4454 mouse 183 188
4455 mouse 193 210
4456 mouse 201 224
4457 mouse 207 224
4458 mouse 210 224
4460 mouse 209 224
4461 mouse 208 224
4462 mouse 205 224
4463 mouse 202 224
4464 mouse 198 224
4465 mouse 196 223
4466 mouse 193 217
4467 mouse 187 200
4468 mouse 176 174
4469 mouse 166 152
4470 mouse 160 138
4471 mouse 156 131
4472 mouse 155 128
4473 mouse 155 127
4480 mouse 156 127
4482 mouse 157 126
4487 mouse 158 126
4488 mouse 159 125
4489 mouse 163 123
4490 mouse 167 123
4491 mouse 172 122
4492 mouse 176 121
4493 mouse 179 121
4494 mouse 180 121
4495 mouse 181 121
4501 mouse 182 121
4503 mouse 183 121
4554 a 1
4561 a 0
4572 mouse 181 121
4573 mouse 179 122
4574 b 1
4574 mouse 175 123
4575 mouse 171 123
4576 mouse 167 124
4577 mouse 166 124
4581 b 0
4590 mouse 165 124
4591 mouse 164 123
4592 mouse 161 123
4593 mouse 159 122
4594 mouse 158 122
4595 mouse 157 122
4596 mouse 156 122
4597 mouse 155 122
4598 mouse 154 121
4599 mouse 153 121
4600 mouse 152 121
4604 mouse 151 121
4609 mouse 150 121
4628 mouse 149 121
4706 a 1
4714 a 0
4720 mouse 147 121
4721 mouse 141 122
4722 mouse 136 123
4723 mouse 133 123
4733 b 1
4739 b 0
4746 mouse 132 123
4747 mouse 131 123
4748 mouse 128 123
4749 mouse 126 123
4750 mouse 124 123
4751 mouse 123 123
4752 mouse 121 123
4754 mouse 121 122
4756 mouse 120 122
4757 mouse 119 122
4758 mouse 117 122
4759 mouse 115 121
4760 mouse 113 121
4761 mouse 112 121
4762 mouse 111 121
4791 mouse 109 121
4792 mouse 105 121
4793 mouse 102 121
4794 mouse 101 121
4867 a 1
4873 a 0
4878 b 1
4882 b 0
4885 mouse 102 122
4886 mouse 104 130
4887 mouse 106 150
4888 mouse 108 181
4889 mouse 109 211
4890 mouse 111 224
4891 mouse 113 224
4892 mouse 114 224
4893 mouse 112 224
4894 mouse 109 224
4895 mouse 106 224
4896 mouse 105 224
4898 mouse 105 221
4899 mouse 105 213
4900 mouse 106 199
4901 mouse 107 179
4902 mouse 107 160
4903 mouse 106 150
4904 mouse 105 143
4905 mouse 104 139
4906 mouse 104 138
4907 mouse 104 137
4910 mouse 104 136
4911 mouse 103 134
4912 mouse 103 132
4913 mouse 103 131
4914 mouse 103 130
4915 mouse 103 129
4916 mouse 103 128
4917 mouse 103 126
4918 mouse 103 122
4919 mouse 103 120
4920 mouse 102 119
4921 mouse 102 118
4922 mouse 102 117
4924 mouse 102 116
4926 mouse 102 115
4942 mouse 102 114
4950 mouse 102 113
4951 mouse 101 113
4985 mouse 108 112
4986 mouse 130 110
4987 mouse 160 105
4988 mouse 191 98
4989 mouse 223 92
4990 mouse 259 87
4991 mouse 296 80
4992 mouse 319 73
4993 mouse 319 66
4994 mouse 319 60
4995 mouse 319 56
4996 mouse 319 53
4997 mouse 319 52
4998 mouse 318 52
4999 mouse 309 52
5000 mouse 294 53
5001 mouse 275 55
5002 mouse 254 59
5003 mouse 234 63
5004 mouse 221 65
5005 mouse 213 67
5006 mouse 211 67
5008 mouse 212 67
5009 mouse 214 66
5010 mouse 218 64
5011 mouse 223 60
5012 mouse 228 55
5013 mouse 230 52
5014 mouse 231 50
5015 mouse 232 49
5016 mouse 233 45
5017 mouse 234 43
5018 mouse 235 42
5019 mouse 235 41
5025 mouse 235 40
5027 mouse 236 40
5032 mouse 236 39
5033 mouse 238 39
5035 mouse 238 38
5038 a 1
5044 a 0
5050 mouse 235 37
5051 mouse 229 31
5052 mouse 215 10
5053 mouse 197 0
5054 mouse 177 0
5055 mouse 160 0
5056 mouse 150 0
5057 mouse 146 0
5058 mouse 144 0
5059 mouse 143 0
5064 mouse 142 1
5065 mouse 141 1
5066 mouse 140 4
5067 mouse 134 11
5068 mouse 124 23
5069 mouse 114 35
5070 mouse 101 45
5071 mouse 90 53
5072 mouse 82 59
5073 mouse 76 65
5074 mouse 72 68
5075 mouse 70 70
5082 mouse 69 70
5083 mouse 68 71
5084 mouse 65 74
5085 mouse 61 80
5086 mouse 58 86
5087 mouse 54 91
5088 mouse 52 93
5089 mouse 52 94
5090 a 1
5095 a 0
5106 mouse 52 93
5116 mouse 92 93
5135 mouse 91 93
5136 mouse 90 93
5137 mouse 87 93
5138 mouse 84 93
5139 mouse 81 93
5140 mouse 78 94
5141 mouse 77 94
5142 mouse 76 94
5143 mouse 75 94
5144 mouse 75 93
5145 mouse 73 90
5146 mouse 69 85
5147 mouse 63 80
5148 mouse 56 75
5149 mouse 51 73
5150 mouse 49 72
5152 mouse 50 72
5153 mouse 52 73
5154 mouse 56 74
5155 mouse 61 76
5156 mouse 66 76
5160 mouse 67 77
5161 mouse 69 78
5162 mouse 72 79
5163 mouse 73 80
5164 mouse 75 81
5165 mouse 76 81
5166 mouse 77 81
5168 mouse 78 81
5169 mouse 78 82
5170 mouse 79 82
5174 a 1
5179 a 0
5184 mouse 80 82
5185 mouse 81 82
5186 mouse 83 81
5188 mouse 84 81
5190 mouse 85 82
5191 mouse 87 85
5192 mouse 88 86
5200 mouse 48 86
5211 mouse 47 86
5212 mouse 46 88
5216 mouse 47 87
5217 mouse 48 83
5218 mouse 50 80
5219 mouse 51 75
5220 mouse 53 71
5221 mouse 53 70
5236 mouse 54 70
5237 mouse 54 69
5238 mouse 55 68
5239 mouse 56 64
5240 mouse 57 60
5241 mouse 59 55
5242 mouse 60 50
5243 mouse 61 43
5244 mouse 61 39
5249 mouse 61 41
5250 mouse 62 45
5251 mouse 64 50
5252 mouse 65 54
5253 mouse 66 56
5254 mouse 66 59
5255 mouse 67 62
5256 mouse 66 64
5257 mouse 64 65
5258 mouse 63 63
5259 mouse 62 61
5260 mouse 60 57
5261 mouse 57 53
5262 mouse 55 47
5263 mouse 57 38
5264 mouse 64 24
5265 mouse 75 3
5266 mouse 83 0
5267 mouse 86 0
5268 mouse 87 0
5270 mouse 85 0
5271 mouse 82 0
5272 mouse 80 0
5273 mouse 79 0
5281 mouse 78 0
5290 mouse 76 2
5291 mouse 73 5
5292 mouse 71 7
5293 mouse 66 11
5294 mouse 62 16
5295 mouse 58 22
5296 mouse 54 30
5297 mouse 51 41
5298 mouse 51 51
5299 mouse 51 62
5300 mouse 52 70
5301 mouse 53 76
5302 mouse 55 82
5303 mouse 56 85
5304 mouse 57 87
5305 mouse 57 88
5307 mouse 57 89
5308 mouse 57 90
5309 mouse 58 93
5310 mouse 60 96
5311 mouse 62 99
5312 mouse 64 101
5313 mouse 64 102
5314 mouse 65 103
5315 mouse 65 104
5317 mouse 65 105
5318 mouse 65 106
5320 mouse 66 106
5322 mouse 66 107
5323 a 1
5329 a 0
5330 mouse 72 109
5331 mouse 78 110
5332 mouse 85 111
5333 mouse 91 112
5334 mouse 95 112
5335 mouse 99 113
5336 mouse 101 113
5339 mouse 102 112
5342 mouse 103 112
5345 mouse 103 111
5346 a 1
5352 a 0
5372 mouse 102 111
5374 mouse 102 112
5377 mouse 101 112
5378 mouse 100 112
5379 mouse 99 112
5381 mouse 98 112
5386 mouse 97 112
5395 mouse 96 112
5397 mouse 95 112
5398 mouse 94 112
5399 mouse 93 111
5400 mouse 91 111
5401 mouse 90 111
5410 a 1
5416 a 0
5421 mouse 89 111
5423 mouse 88 111
5424 mouse 87 111
5425 mouse 85 111
5426 mouse 81 111
5427 mouse 77 111
5428 mouse 72 111
5429 mouse 68 111
5430 mouse 66 111
5431 mouse 65 111
5439 a 1
5445 a 0
